Question,Intent
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term ក្រោយ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 1/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 2/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 3/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 4/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term នេះ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក E- commerce រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term ក្រោយ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក E- commerce រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 1/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក E- commerce រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 2/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក E- commerce រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 3/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក E- commerce រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 4/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស ជំនាន់/B-GEN ៨/I-GEN ផ្នែក E- commerce រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term នេះ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 6/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term ក្រោយ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 6/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 1/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 6/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 2/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 6/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 3/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 6/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 4/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 6/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term នេះ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 6/I-GEN ផ្នែក/B-MAJOROR E-commerce/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term ក្រោយ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 6/I-GEN ផ្នែក/B-MAJOROR E-commerce/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 1/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 6/I-GEN ផ្នែក/B-MAJOROR E-commerce/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 2/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 6/I-GEN ផ្នែក/B-MAJOROR E-commerce/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 3/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 6/I-GEN ផ្នែក/B-MAJOROR E-commerce/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 4/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 6/I-GEN ផ្នែក/B-MAJOROR E-commerce/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term នេះ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 7/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term ក្រោយ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 7/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 1/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 7/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 2/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 7/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 3/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 7/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 4/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 7/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term នេះ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 7/I-GEN ផ្នែក E- commerce រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term ក្រោយ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 7/I-GEN ផ្នែក E- commerce រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 1/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 7/I-GEN ផ្នែក E- commerce រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 2/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 7/I-GEN ផ្នែក E- commerce រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 3/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 7/I-GEN ផ្នែក E- commerce រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 4/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 7/I-GEN ផ្នែក E- commerce រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term នេះ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 8/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term ក្រោយ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 8/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 1/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 8/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 2/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 8/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 3/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 8/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 4/I-TERM ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 8/I-GEN ផ្នែក/B-MAJOROR ពាណិជ្ជ/I-MAJOROR កម្ម/I-MAJOROR អេឡិចត្រូនិក/I-MAJOROR រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term នេះ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 8/I-GEN ផ្នែក E- commerce រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term ក្រោយ ?,AskAboutEC_CourseInEachGen
តើ សិស្ស Gen/B-GEN 8/I-GEN ផ្នែក E- commerce រៀន មុខ វិជ្ជា អ្វី ខ្លះ នៅ Term/B-TERM 1/I-TERM ?,AskAboutEC_CourseInEachGen
