Question,Intent
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun សុខលាភ/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,FindTotalStudents
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun សុខលាភ/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun សុខលាភ/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun សុខលាភ/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun សុខលាភ/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun សុខលាភ/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Darot/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Darot/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Darot/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Darot/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Darot/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Darot/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីដារូ៉ត/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីដារូ៉ត/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីដារូ៉ត/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីដារូ៉ត/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីដារូ៉ត/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីដារូ៉ត/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Jojo/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Jojo/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Jojo/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Jojo/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Jojo/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Jojo/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun ចូចូ/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun ចូចូ/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun ចូចូ/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun ចូចូ/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun ចូចូ/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun ចូចូ/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Lita/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Lita/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Lita/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Lita/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Lita/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Lita/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុី/noun ធីលីតា/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុី/noun ធីលីតា/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុី/noun ធីលីតា/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីលីតា/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីលីតា/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីលីតា/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Duoung/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Duoung/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Duoung/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Duoung/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Duoung/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Duoung/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីដួង/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីដួង/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីដួង/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun ដួង/verb ដឹង/verb ទេ/prt ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun ដួង/verb ដឹង/verb ទេ/prt ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun ដួង/verb ដឹង/verb ទេ/prt ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Linda/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Linda/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Linda/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Linda/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Linda/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Linda/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីលីនដា/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីលីនដា/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីលីនដា/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីលីនដា/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីលីនដា/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធីលីនដា/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Sokleap/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Sokleap/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Sokleap/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Sokleap/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Sokleap/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt វិទ្យាល័យ/noun សុីអេឌុីធី/noun Sokleap/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt នៅ/adp CADT/noun សុខ/noun លាភ/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt នៅ/adp CADT/noun សុខ/noun លាភ/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb សិស្ស/noun សរុប/verb ប៉ុន្មាន/adv ?/punct,
តើ/prt នៅ/adp CADT/noun សុខ/noun លាភ/noun ដែល/noun ដឹង/verb ថា/conj មាន/verb student/noun ប៉ុន្មាន/adv ?/punct,
តើ/prt នៅ/adp CADT/noun សុខ/noun លាភ/noun ដឹង/verb ទេ/prt ថា/conj មាន/verb និស្សិត/noun ប៉ុន្មាន/adv ?/punct,
