Question,Intent
តើ តេអិន/B-MAJOROR សិក្សា អ្វី ខ្លះ,FindTNInfo
តើ តេអិន/B-MAJOROR ជា អ្វី ?,FindTNInfo
តើ តេអិន/B-MAJOROR ជា អ្វី ទៅ ?,FindTNInfo
តើ តេអិន/B-MAJOROR គឺ ជា អ្វី ?,FindTNInfo
តើ តេអិន/B-MAJOROR សំដៅ ទៅ លើ អ្វី ?,FindTNInfo
តើ តេអិន/B-MAJOROR រៀន ប៉ុន្មាន ឆ្នាំ,FindTNInfo
តើ តេអិន/B-MAJOROR រៀន ប៉ុន្មាន ឆមាស,FindTNInfo
តើ តេអិន/B-MAJOROR រៀន ប៉ុន្មាន ត្រី មាស,FindTNInfo
តើ តេអិន/B-MAJOROR គេ រៀន ពី អ្វី,FindTNInfo
តើ តេអិន/B-MAJOROR រៀន ពី អ្វី ទៅ,FindTNInfo
តើ តេអិន/B-MAJOROR ហ្នឹង សិក្សា អ្វី ខ្លះ,FindTNInfo
តើ តេអិន/B-MAJOROR ហ្នឹង ជា អ្វី ?,FindTNInfo
តើ តេអិន/B-MAJOROR ហ្នឹង ជា អ្វី ទៅ ?,FindTNInfo
តើ តេអិន/B-MAJOROR ហ្នឹង គឺ ជា អ្វី ?,FindTNInfo
តើ តេអិន/B-MAJOROR ហ្នឹង សំដៅ ទៅ លើ អ្វី ?,FindTNInfo
តើ តេអិន/B-MAJOROR ហ្នឹង រៀន ប៉ុន្មាន ឆ្នាំ,FindTNInfo
តើ តេអិន/B-MAJOROR ហ្នឹង រៀន ប៉ុន្មាន ឆមាស,FindTNInfo
តើ តេអិន/B-MAJOROR ហ្នឹង រៀន ប៉ុន្មាន ត្រី មាស,FindTNInfo
តើ តេអិន/B-MAJOROR ហ្នឹង គេ រៀន ពី អ្វី,FindTNInfo
តើ តេអិន/B-MAJOROR ហ្នឹង រៀន ពី អ្វី ទៅ,FindTNInfo
តើ ទូរគមនាគមន៍/B-MAJOROR និង/I-MAJOROR បណ្តាញ/I-MAJOROR សិក្សា អ្វី ខ្លះ,FindTNInfo
តើ ទូរគមនាគមន៍/B-MAJOROR និង/I-MAJOROR បណ្តាញ/I-MAJOROR ជា អ្វី ?,FindTNInfo
