Question,Intent
ឯណាទៅ/adj ដែល/noun ខ្ញុំ/pron អាច/verb រក/verb ឃើញ/verb បន្ទប់/noun Accountant/noun ក្នុង/adp សាកល/adj វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,AskAboutAccountantRoom 
ឯណាទៅ/adj ដែល/noun ខ្ញុំ/pron អាច/verb រក/verb ឃើញ/verb បន្ទប់/noun Accountant/noun ក្នុង/adp វិទ្យាល័យ/noun CADT/noun,AskAboutAccountantRoom 
ឯណាទៅ/adj ដែល/noun ខ្ញុំ/pron អាច/verb រក/verb ឃើញ/verb បន្ទប់/noun Accountant/noun ក្នុង/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,AskAboutAccountantRoom 
ឯណាទៅ/adj ដែល/noun ខ្ញុំ/pron អាច/verb រក/verb ឃើញ/verb បន្ទប់/noun Accountant/noun ក្នុង/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,AskAboutAccountantRoom 
ឯណាទៅ/adj ដែល/noun ខ្ញុំ/pron អាច/verb រក/verb ឃើញ/verb បន្ទប់/noun Accountant/noun ក្នុង/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun,AskAboutAccountantRoom 
ឯណាទៅ/adj ដែល/noun ខ្ញុំ/pron អាច/verb រក/verb ឃើញ/verb បន្ទប់/noun Accountant/noun របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,AskAboutAccountantRoom 
ឯណាទៅ/adj ដែល/noun ខ្ញុំ/pron អាច/verb រក/verb ឃើញ/verb បន្ទប់/noun Accountant/noun របស់/adp វិទ្យាល័យ/noun CADT/noun,AskAboutAccountantRoom 
ឯណាទៅ/adj ដែល/noun ខ្ញុំ/pron អាច/verb រក/verb ឃើញ/verb បន្ទប់/noun Accountant/noun របស់/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,AskAboutAccountantRoom 
ឯណាទៅ/adj ដែល/noun ខ្ញុំ/pron អាច/verb រក/verb ឃើញ/verb បន្ទប់/noun Accountant/noun របស់/adp សាលា/noun រៀន/verb សុី/noun អេ/noun ដីឌី/noun,AskAboutAccountantRoom 
ឯណាទៅ/adj ដែល/noun ខ្ញុំ/pron អាច/verb រក/verb ឃើញ/verb បន្ទប់/noun Accountant/noun របស់/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun,AskAboutAccountantRoom 
ឯណាទៅ/adj ដែល/noun ខ្ញុំ/pron អាច/verb រក/verb ឃើញ/verb បន្ទប់/noun Accountant/noun នៃ/adp សាកល/adj វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,AskAboutAccountantRoom 
ឯណាទៅ/adj ដែល/noun ខ្ញុំ/pron អាច/verb រក/verb ឃើញ/verb បន្ទប់/noun Accountant/noun នៃ/adp វិទ្យាល័យ/noun CADT/noun,AskAboutAccountantRoom 
ឯណាទៅ/adj ដែល/noun ខ្ញុំ/pron អាច/verb រក/verb ឃើញ/verb បន្ទប់/noun Accountant/noun នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,AskAboutAccountantRoom 
ឯណាទៅ/adj ដែល/noun ខ្ញុំ/pron អាច/verb រក/verb ឃើញ/verb បន្ទប់/noun Accountant/noun នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,AskAboutAccountantRoom 
